Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT5X24.5,24.5,7.21,4.99,5      ,10.0,10      ,0.340,  5/16,  3/16,0.560,  9/16,1.06,1  1/4 ,0.807,0.361,8.93,14.7,10.0,4.52,2.39,1.18,46.7,14.1,9.34,2.54,0.693,1.33,2.85,0.966,19.5,29.5,20.0,30.0,5  1/2 
WT5X22.5,22.5,6.63,5.05,5      ,8.02,8      ,0.350,  3/8 ,  3/16,0.620,  5/8 ,1.12,1  5/16,0.907,0.413,6.47,14.4,10.2,4.65,2.47,1.24,26.7,10.1,6.65,2.01,0.753,0.981,2.43,0.940,17.6,25.6,18.1,26.1,5  1/2 
WT5X19.5,19.5,5.73,4.96,5      ,7.99,8      ,0.315,  5/16,  3/16,0.530,  1/2 ,1.03,1  3/16,0.876,0.359,7.53,15.7,8.84,3.99,2.16,1.24,22.5,8.57,5.64,1.98,0.487,0.616,2.42,0.936,17.4,25.4,17.9,25.9,5  1/2 
WT5X16.5,16.5,4.85,4.87,4  7/8 ,7.96,8      ,0.290,  5/16,  3/16,0.435,  7/16,0.935,1  1/8 ,0.869,0.305,9.15,16.8,7.71,3.48,1.93,1.26,18.3,7.00,4.60,1.94,0.291,0.356,2.40,0.927,17.2,25.1,17.7,25.7,5  1/2 
WT5X15,15.0,4.42,5.24,5  1/4 ,5.81,5  3/4 ,0.300,  5/16,  3/16,0.510,  1/2 ,0.810,1  1/8 ,1.10,0.380,5.70,17.5,9.28,4.01,2.24,1.45,8.35,4.41,2.87,1.37,0.310,0.273,2.17,0.849,15.9,21.7,16.3,22.1,2  3/4 
WT5X13,13.0,3.81,5.17,5  1/8 ,5.77,5  3/4 ,0.260,  1/4 ,  1/8 ,0.440,  7/16,0.740,1  1/16,1.06,0.330,6.56,19.9,7.86,3.39,1.91,1.44,7.05,3.75,2.44,1.36,0.201,0.173,2.15,0.848,15.7,21.5,16.1,21.9,2  3/4 
WT5X11,11.0,3.24,5.09,5  1/8 ,5.75,5  3/4 ,0.240,  1/4 ,  1/8 ,0.360,  3/8 ,0.660, 15/16,1.07,0.282,7.99,21.2,6.88,3.02,1.72,1.46,5.71,3.05,1.99,1.33,0.119,0.107,2.16,0.830,15.5,21.3,15.9,21.7,2  3/4 
WT5X9.5,9.50,2.81,5.12,5  1/8 ,4.02,4      ,0.250,  1/4 ,  1/8 ,0.395,  3/8 ,0.695, 15/16,1.28,0.349,5.09,20.5,6.68,3.10,1.74,1.54,2.15,1.67,1.07,0.874,0.116,0.0796,2.08,0.729,13.9,17.9,14.3,18.3,2  1/4 
WT5X8.5,8.50,2.50,5.06,5      ,4.01,4      ,0.240,  1/4 ,  1/8 ,0.330,  5/16,0.630,  7/8 ,1.32,0.311,6.08,21.1,6.06,2.90,1.62,1.56,1.78,1.40,0.887,0.844,0.0776,0.0610,2.11,0.703,13.8,17.8,14.1,18.1,2  1/4 
WT5X7.5,7.50,2.21,5.00,5      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.270,  1/4 ,0.570, 13/16,1.37,0.305,7.41,21.7,5.45,2.71,1.50,1.57,1.45,1.15,0.723,0.810,0.0518,0.0475,2.16,0.672,13.6,17.6,14.0,18.0,2  1/4 
WT5X6,6.00,1.77,4.94,4  7/8 ,3.96,4      ,0.190,  3/16,  1/8 ,0.210,  3/16,0.510,  3/4 ,1.36,0.322,9.43,26.0,4.35,2.20,1.22,1.57,1.09,0.869,0.551,0.785,0.0272,0.0255,2.16,0.661,13.5,17.4,13.8,17.8,2  1/4 
WT4X33.5,33.5,9.84,4.50,4  1/2 ,8.28,8  1/4 ,0.570,  9/16,  5/16,0.935, 15/16,1.33,1  5/8 ,0.936,0.594,4.43,7.89,10.9,6.29,3.05,1.05,44.3,16.3,10.7,2.12,2.51,3.56,2.41,0.962,16.8,25.0,17.3,25.6,5  1/2 
WT4X29,29.0,8.54,4.38,4  3/8 ,8.22,8  1/4 ,0.510,  1/2 ,  1/4 ,0.810, 13/16,1.20,1  1/2 ,0.874,0.520,5.07,8.59,9.12,5.25,2.61,1.03,37.5,13.9,9.13,2.10,1.66,2.28,2.38,0.961,16.5,24.7,17.0,25.2,5  1/2 
WT4X24,24.0,7.05,4.25,4  1/4 ,8.11,8  1/8 ,0.400,  3/8 ,  3/16,0.685, 11/16,1.08,1  3/8 ,0.777,0.435,5.92,10.6,6.85,3.94,1.97,0.986,30.5,11.4,7.51,2.08,0.977,1.30,2.34,0.966,16.1,24.2,16.6,24.7,5  1/2 
WT4X20,20.0,5.87,4.13,4  1/8 ,8.07,8  1/8 ,0.360,  3/8 ,  3/16,0.560,  9/16,0.954,1  1/4 ,0.735,0.364,7.21,11.5,5.73,3.25,1.69,0.988,24.5,9.24,6.08,2.04,0.558,0.715,2.32,0.961,15.8,23.9,16.3,24.4,5  1/2 
WT4X17.5,17.5,5.14,4.06,4      ,8.02,8      ,0.310,  5/16,  3/16,0.495,  1/2 ,0.889,1  3/16,0.688,0.321,8.10,13.1,4.82,2.71,1.43,0.968,21.3,8.05,5.31,2.03,0.384,0.480,2.30,0.963,15.6,23.6,16.1,24.2,5  1/2 
WT4X15.5,15.5,4.56,4.00,4      ,8.00,8      ,0.285,  5/16,  3/16,0.435,  7/16,0.829,1  1/8 ,0.668,0.285,9.19,14.0,4.28,2.39,1.28,0.969,18.5,7.03,4.64,2.02,0.267,0.327,2.28,0.961,15.5,23.5,16.0,24.0,5  1/2 
WT4X14,14.0,4.12,4.03,4      ,6.54,6  1/2 ,0.285,  5/16,  3/16,0.465,  7/16,0.859, 15/16,0.734,0.315,7.03,14.1,4.23,2.38,1.28,1.01,10.8,5.04,3.31,1.62,0.268,0.230,1.98,0.935,14.2,20.8,14.6,21.1,4      
WT4X12,12.0,3.54,3.97,4      ,6.50,6  1/2 ,0.245,  1/4 ,  1/8 ,0.400,  3/8 ,0.794,  7/8 ,0.695,0.272,8.12,16.2,3.53,1.98,1.08,0.999,9.14,4.28,2.81,1.61,0.173,0.144,1.96,0.936,14.1,20.6,14.4,20.9,4      
WT4X10.5,10.5,3.08,4.14,4  1/8 ,5.27,5  1/4 ,0.250,  1/4 ,  1/8 ,0.400,  3/8 ,0.700,  7/8 ,0.831,0.292,6.59,16.6,3.90,2.11,1.18,1.12,4.88,2.84,1.85,1.26,0.141,0.0916,1.80,0.877,13.2,18.5,13.6,18.8,2  3/4 
WT4X9,9.00,2.63,4.07,4  1/8 ,5.25,5  1/4 ,0.230,  1/4 ,  1/8 ,0.330,  5/16,0.630, 13/16,0.834,0.251,7.95,17.7,3.41,1.86,1.05,1.14,3.98,2.33,1.52,1.23,0.0855,0.0562,1.80,0.863,13.1,18.3,13.4,18.6,2  3/4 
WT4X7.5,7.50,2.22,4.06,4      ,4.02,4      ,0.245,  1/4 ,  1/8 ,0.315,  5/16,0.615, 13/16,0.998,0.276,6.37,16.6,3.28,1.91,1.07,1.22,1.70,1.33,0.849,0.876,0.0679,0.0382,1.72,0.760,11.8,15.8,12.1,16.2,2  1/4 
WT4X6.5,6.50,1.92,4.00,4      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.255,  1/4 ,0.555,  3/4 ,1.03,0.240,7.84,17.4,2.89,1.74,0.974,1.23,1.36,1.07,0.682,0.843,0.0433,0.0269,1.74,0.733,11.7,15.7,12.0,16.0,2  1/4 
WT4X5,5.00,1.48,3.95,4      ,3.94,4      ,0.170,  3/16,  1/8 ,0.205,  3/16,0.505, 11/16,0.953,0.188,9.61,23.2,2.15,1.27,0.717,1.20,1.05,0.826,0.531,0.840,0.0212,0.0114,1.70,0.749,11.5,15.4,11.8,15.8,2  1/4 
WT3X12.5,12.5,3.67,3.19,3  1/4 ,6.08,6  1/8 ,0.320,  5/16,  3/16,0.455,  7/16,0.705, 15/16,0.610,0.302,6.68,10.0,2.29,1.68,0.886,0.789,8.53,4.28,2.81,1.52,0.229,0.171,1.76,0.953,12.1,18.2,12.5,18.5,3  1/2 
WT3X10,10.0,2.94,3.10,3  1/8 ,6.02,6      ,0.260,  1/4 ,  1/8 ,0.365,  3/8 ,0.615,  7/8 ,0.560,0.244,8.25,11.9,1.76,1.29,0.693,0.774,6.64,3.36,2.21,1.50,0.120,0.0858,1.73,0.953,11.9,17.9,12.2,18.2,3  1/2 
WT3X7.5,7.50,2.21,3.00,3      ,5.99,6      ,0.230,  1/4 ,  1/8 ,0.260,  1/4 ,0.510,  3/4 ,0.558,0.185,11.5,13.0,1.41,1.03,0.577,0.797,4.66,2.37,1.56,1.45,0.0504,0.0342,1.71,0.937,11.7,17.6,12.0,18.0,3  1/2 
WT3X8,8.00,2.37,3.14,3  1/8 ,4.03,4      ,0.260,  1/4 ,  1/8 ,0.405,  3/8 ,0.655,  7/8 ,0.676,0.294,4.98,12.1,1.69,1.25,0.685,0.844,2.21,1.69,1.10,0.966,0.111,0.0426,1.37,0.880,10.0,14.0,10.3,14.3,2  1/4 
WT3X6,6.00,1.78,3.02,3      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.280,  1/4 ,0.530,  3/4 ,0.677,0.222,7.14,13.1,1.32,1.01,0.564,0.862,1.50,1.16,0.748,0.918,0.0449,0.0178,1.37,0.846,9.70,13.7,10.0,14.0,2  1/4 
WT3X4.5,4.50,1.34,2.95,3      ,3.94,4      ,0.170,  3/16,  1/8 ,0.215,  3/16,0.465, 11/16,0.623,0.170,9.16,17.4,0.950,0.720,0.408,0.842,1.10,0.856,0.557,0.905,0.0202,0.00736,1.34,0.852,9.50,13.4,9.84,13.8,2  1/4 
WT3X4.25,4.25,1.26,2.92,2  7/8 ,3.94,4      ,0.170,  3/16,  1/8 ,0.195,  3/16,0.445, 11/16,0.637,0.160,10.1,17.2,0.905,0.700,0.397,0.848,0.995,0.778,0.505,0.890,0.0166,0.00620,1.34,0.839,9.44,13.4,9.78,13.7,2  1/4 
WT2.5X9.5,9.50,2.78,2.58,2  5/8 ,5.03,5      ,0.270,  1/4 ,  1/8 ,0.430,  7/16,0.730, 13/16,0.487,0.276,5.85,9.56,1.01,0.970,0.485,0.604,4.56,2.76,1.81,1.28,0.157,0.0775,1.44,0.964,9.93,15.0,10.2,15.2,2  3/4 
WT2.5X8,8.00,2.35,2.51,2  1/2 ,5.00,5      ,0.240,  1/4 ,  1/8 ,0.360,  3/8 ,0.660,  3/4 ,0.458,0.235,6.94,10.5,0.845,0.801,0.413,0.599,3.75,2.28,1.50,1.26,0.0958,0.0453,1.43,0.962,9.76,14.8,10.0,15.0,2  3/4 
WT2X6.5,6.50,1.91,2.08,2  1/8 ,4.06,4      ,0.280,  1/4 ,  1/8 ,0.345,  3/8 ,0.595,  3/4 ,0.440,0.236,5.88,7.43,0.526,0.616,0.321,0.524,1.93,1.46,0.950,1.00,0.0750,0.0233,1.16,0.947,7.95,12.0,8.22,12.3,2  1/4 
