Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT7X66,66.0,19.4,7.33,7  3/8 ,14.7,14  3/4 ,0.645,  5/8 ,  5/16,1.03,1      ,1.63,2  5/16,1.29,0.658,7.15,11.4,57.8,18.6,9.57,1.73,274,56.5,37.2,3.76,6.13,26.6,4.21,0.966,28.3,43.0,29.4,44.1,5  1/2 
WT7X60,60.0,17.7,7.24,7  1/4 ,14.7,14  5/8 ,0.590,  9/16,  5/16,0.940, 15/16,1.54,2  1/4 ,1.24,0.602,7.80,12.3,51.7,16.5,8.61,1.71,247,51.2,33.7,3.74,4.67,20.0,4.19,0.966,28.2,42.9,29.2,43.9,5  1/2 
WT7X54.5,54.5,16.0,7.16,7  1/8 ,14.6,14  5/8 ,0.525,  1/2 ,  1/4 ,0.860,  7/8 ,1.46,2  3/16,1.17,0.548,8.49,13.6,45.3,14.4,7.56,1.68,223,46.3,30.6,3.73,3.55,15.0,4.16,0.968,27.9,42.5,28.9,43.5,5  1/2 
WT7X49.5,49.5,14.6,7.08,7  1/8 ,14.6,14  5/8 ,0.485,  1/2 ,  1/4 ,0.780,  3/4 ,1.38,2  1/16,1.14,0.500,9.34,14.6,40.9,12.9,6.88,1.67,201,41.8,27.6,3.71,2.68,11.1,4.14,0.967,27.7,42.3,28.8,43.4,5  1/2 
WT7X45,45.0,13.2,7.01,7      ,14.5,14  1/2 ,0.440,  7/16,  1/4 ,0.710, 11/16,1.31,2      ,1.09,0.456,10.2,15.9,36.5,11.5,6.16,1.66,181,37.8,25.0,3.70,2.03,8.31,4.12,0.968,27.5,42.0,28.5,43.0,5  1/2 
WT7X41,41.0,12.0,7.16,7  1/8 ,10.1,10  1/8 ,0.510,  1/2 ,  1/4 ,0.855,  7/8 ,1.45,1 11/16,1.39,0.593,5.92,14.0,41.2,13.2,7.14,1.85,74.1,22.4,14.6,2.48,2.53,5.63,3.24,0.912,23.7,33.8,24.4,34.5,5  1/2 
WT7X37,37.0,10.9,7.09,7  1/8 ,10.1,10  1/8 ,0.450,  7/16,  1/4 ,0.785, 13/16,1.38,1  5/8 ,1.32,0.541,6.41,15.8,36.0,11.5,6.25,1.82,66.9,20.2,13.3,2.48,1.93,4.19,3.21,0.916,23.6,33.7,24.3,34.4,5  1/2 
WT7X34,34.0,10.0,7.02,7      ,10.0,10      ,0.415,  7/16,  1/4 ,0.720,  3/4 ,1.31,1  9/16,1.29,0.498,6.97,16.9,32.6,10.4,5.69,1.81,60.7,18.4,12.1,2.46,1.50,3.21,3.19,0.916,23.4,33.4,24.0,34.0,5  1/2 
WT7X30.5,30.5,8.96,6.95,7      ,10.0,10      ,0.375,  3/8 ,  3/16,0.645,  5/8 ,1.24,1  1/2 ,1.25,0.448,7.75,18.5,28.9,9.15,5.07,1.80,53.7,16.4,10.7,2.45,1.09,2.29,3.17,0.915,23.2,33.2,23.9,33.9,5  1/2 
WT7X26.5,26.5,7.80,6.96,7      ,8.06,8      ,0.370,  3/8 ,  3/16,0.660, 11/16,1.25,1  1/2 ,1.38,0.484,6.11,18.8,27.6,8.87,4.94,1.88,28.8,11.0,7.15,1.92,0.967,1.46,2.89,0.868,21.3,29.4,22.0,30.0,5  1/2 
WT7X24,24.0,7.07,6.90,6  7/8 ,8.03,8      ,0.340,  5/16,  3/16,0.595,  5/8 ,1.19,1  7/16,1.35,0.440,6.75,20.3,24.9,8.00,4.49,1.88,25.7,9.80,6.40,1.91,0.723,1.07,2.87,0.866,21.1,29.2,21.8,29.9,5  1/2 
WT7X21.5,21.5,6.31,6.83,6  7/8 ,8.00,8      ,0.305,  5/16,  3/16,0.530,  1/2 ,1.12,1  3/8 ,1.31,0.395,7.54,22.4,21.9,7.05,3.98,1.86,22.6,8.64,5.65,1.89,0.522,0.751,2.86,0.865,21.0,29.0,21.7,29.7,5  1/2 
WT7X19,19.0,5.58,7.05,7      ,6.77,6  3/4 ,0.310,  5/16,  3/16,0.515,  1/2 ,0.915,1  1/4 ,1.54,0.412,6.57,22.7,23.3,7.45,4.22,2.04,13.3,6.07,3.94,1.55,0.398,0.554,2.86,0.799,20.4,27.1,20.9,27.6,3  1/2 
WT7X17,17.0,5.00,6.99,7      ,6.75,6  3/4 ,0.285,  5/16,  3/16,0.455,  7/16,0.855,1  3/16,1.53,0.371,7.41,24.5,20.9,6.74,3.83,2.04,11.6,5.32,3.45,1.53,0.284,0.400,2.87,0.792,20.2,27.0,20.7,27.5,3  1/2 
WT7X15,15.0,4.42,6.92,6  7/8 ,6.73,6  3/4 ,0.270,  1/4 ,  1/8 ,0.385,  3/8 ,0.785,1  1/8 ,1.58,0.329,8.74,25.6,19.0,6.25,3.55,2.07,9.79,4.49,2.91,1.49,0.190,0.287,2.90,0.772,20.1,26.8,20.6,27.3,3  1/2 
WT7X13,13.0,3.85,6.96,7      ,5.03,5      ,0.255,  1/4 ,  1/8 ,0.420,  7/16,0.820,1  1/8 ,1.72,0.383,5.98,27.3,17.3,5.89,3.31,2.12,4.45,2.76,1.77,1.08,0.179,0.207,2.82,0.712,18.4,23.5,19.0,24.0,2  3/4 
WT7X11,11.0,3.25,6.87,6  7/8 ,5.00,5      ,0.230,  1/4 ,  1/8 ,0.335,  5/16,0.735,1  1/16,1.76,0.325,7.46,29.9,14.8,5.20,2.91,2.14,3.50,2.19,1.40,1.04,0.104,0.134,2.86,0.689,18.2,23.2,18.7,23.7,2  3/4 
WT6X168,168,49.5,8.41,8  3/8 ,13.4,13  3/8 ,1.78,1  3/4 ,  7/8 ,2.96,2 15/16,3.55,3  7/8 ,2.31,1.84,2.26,4.72,190,68.4,31.2,1.96,593,137,88.6,3.47,120,481,4.07,0.958,29.5,42.9,30.2,43.6,5  1/2 
WT6X152.5,152.5,44.7,8.16,8  1/8 ,13.2,13  1/4 ,1.63,1  5/8 , 13/16,2.71,2 11/16,3.30,3  5/8 ,2.16,1.69,2.45,5.01,162,59.1,27.0,1.90,525,122,79.3,3.42,92.0,356,4.00,0.959,28.8,42.0,29.5,42.7,5  1/2 
WT6X139.5,139.5,41.0,7.93,7  7/8 ,13.1,13  1/8 ,1.53,1  1/2 ,  3/4 ,2.47,2  1/2 ,3.07,3  3/8 ,2.05,1.56,2.66,5.18,141,51.9,24.1,1.86,469,110,71.3,3.38,70.9,267,3.94,0.958,28.3,41.4,29.0,42.1,5  1/2 
WT6X126,126,37.1,7.71,7  3/4 ,13.0,13      ,1.40,1  3/8 , 11/16,2.25,2  1/4 ,2.85,3  1/8 ,1.92,1.42,2.89,5.51,121,44.8,20.9,1.81,414,97.9,63.6,3.34,53.5,195,3.88,0.958,27.7,40.7,28.4,41.4,5  1/2 
WT6X115,115,33.8,7.53,7  1/2 ,12.9,12  7/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,2 15/16,1.82,1.31,3.11,5.84,106,39.4,18.5,1.77,371,88.4,57.5,3.31,41.6,148,3.83,0.958,27.3,40.2,28.0,40.9,5  1/2 
WT6X105,105,30.9,7.36,7  3/8 ,12.8,12  3/4 ,1.18,1  3/16,  5/8 ,1.90,1  7/8 ,2.50,2 13/16,1.72,1.21,3.37,6.24,92.1,34.5,16.4,1.73,332,79.7,51.9,3.28,32.1,112,3.79,0.958,26.8,39.6,27.5,40.3,5  1/2 
WT6X95,95.0,28.0,7.19,7  1/4 ,12.7,12  5/8 ,1.06,1  1/16,  9/16,1.74,1  3/4 ,2.33,2  5/8 ,1.62,1.10,3.65,6.78,79.0,29.8,14.2,1.68,295,71.2,46.5,3.25,24.3,82.1,3.73,0.960,26.4,39.1,27.1,39.8,5  1/2 
