Name,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS24X12X3/4,171.16,47.1,24.0,21.9,12.0,9.91,0.750,0.698,14.2,31.4,3440,359,287,8.55,1170,221,195,4.98,2850,366
HSS24X12X5/8,144.39,39.6,24.0,22.3,12.0,10.3,0.625,0.581,17.7,38.4,2940,304,245,8.62,1000,188,167,5.03,2430,310
HSS24X12X1/2,116.91,32.1,24.0,22.6,12.0,10.6,0.500,0.465,22.8,48.6,2420,248,202,8.68,829,154,138,5.08,1980,252
HSS22X22X7/8,244.88,67.3,22.0,19.6,22.0,19.6,0.875,0.814,24.1,24.1,4970,530,452,8.59,4970,530,452,8.59,7890,729
HSS22X22X3/4,212.00,58.2,22.0,19.9,22.0,19.9,0.750,0.698,28.5,28.5,4350,462,395,8.65,4350,462,395,8.65,6860,632
HSS20X20X7/8,221.06,60.8,20.0,17.6,20.0,17.6,0.875,0.814,21.6,21.6,3670,433,367,7.77,3670,433,367,7.77,5870,597
HSS20X20X3/4,191.58,52.6,20.0,17.9,20.0,17.9,0.750,0.698,25.6,25.6,3230,378,323,7.84,3230,378,323,7.84,5110,519
HSS20X20X5/8,161.40,44.3,20.0,18.3,20.0,18.3,0.625,0.581,31.5,31.5,2750,320,275,7.88,2750,320,275,7.88,4320,437
HSS20X20X1/2,130.52,35.8,20.0,18.6,20.0,18.6,0.500,0.465,40.0,40.0,2260,261,226,7.95,2260,261,226,7.95,3510,355
HSS20X12X3/4,150.75,41.5,20.0,17.9,12.0,9.91,0.750,0.698,14.2,25.6,2190,270,219,7.26,988,190,165,4.88,2220,303
HSS20X12X5/8,127.37,35.0,20.0,18.3,12.0,10.3,0.625,0.581,17.7,31.4,1880,230,188,7.33,851,162,142,4.93,1890,257
HSS20X12X1/2,103.30,28.3,20.0,18.6,12.0,10.6,0.500,0.465,22.8,40.0,1550,188,155,7.39,705,132,117,4.99,1540,209
HSS20X12X3/8,78.52,21.5,20.0,19.0,12.0,11.0,0.375,0.349,31.4,54.3,1200,144,120,7.45,547,102,91.1,5.04,1180,160
HSS20X12X5/16,65.87,18.1,20.0,19.1,12.0,11.1,0.3125,0.291,38.2,65.7,1010,122,101,7.48,464,85.8,77.3,5.07,997,134
HSS20X8X5/8,110.36,30.3,20.0,18.3,8.00,6.26,0.625,0.581,10.8,31.4,1440,185,144,6.89,338,96.4,84.6,3.34,916,167
HSS20X8X1/2,89.68,24.6,20.0,18.6,8.00,6.60,0.500,0.465,14.2,40.0,1190,152,119,6.96,283,79.5,70.8,3.39,757,137
HSS20X8X3/8,68.31,18.7,20.0,19.0,8.00,6.95,0.375,0.349,19.9,54.3,926,117,92.6,7.03,222,61.5,55.6,3.44,586,105
HSS20X8X5/16,57.36,15.7,20.0,19.1,8.00,7.13,0.3125,0.291,24.5,65.7,786,98.6,78.6,7.07,189,52.0,47.4,3.47,496,88.3
HSS20X4X1/2,76.07,20.9,20.0,18.6,4.00,2.60,0.500,0.465,5.60,40.0,838,115,83.8,6.33,58.7,34.0,29.3,1.68,195,63.8
HSS20X4X3/8,58.10,16.0,20.0,19.0,4.00,2.95,0.375,0.349,8.46,54.3,657,89.3,65.7,6.42,47.6,26.8,23.8,1.73,156,49.9
HSS20X4X5/16,48.86,13.4,20.0,19.1,4.00,3.13,0.3125,0.291,10.7,65.7,560,75.6,56.0,6.46,41.2,22.9,20.6,1.75,134,42.4
HSS20X4X1/4,39.43,10.8,20.0,19.3,4.00,3.30,0.250,0.233,14.2,82.8,458,61.5,45.8,6.50,34.3,18.7,17.1,1.78,111,34.7
HSS18X18X7/8,197.24,54.3,18.0,15.6,18.0,15.6,0.875,0.814,19.2,19.2,2630,346,292,6.96,2630,346,292,6.96,4220,479
HSS18X18X3/4,171.16,47.1,18.0,15.9,18.0,15.9,0.750,0.698,22.8,22.8,2320,302,258,7.02,2320,302,258,7.02,3690,417
HSS18X18X5/8,144.39,39.6,18.0,16.3,18.0,16.3,0.625,0.581,28.1,28.1,1980,257,220,7.07,1980,257,220,7.07,3120,352
HSS18X18X1/2,116.91,32.1,18.0,16.6,18.0,16.6,0.500,0.465,35.7,35.7,1630,210,181,7.13,1630,210,181,7.13,2540,286
HSS18X6X5/8,93.34,25.7,18.0,16.3,6.00,4.26,0.625,0.581,7.33,28.0,923,135,103,6.00,158,61.0,52.7,2.48,462,109
HSS18X6X1/2,76.07,20.9,18.0,16.6,6.00,4.61,0.500,0.465,9.90,35.7,770,112,85.6,6.07,134,50.7,44.6,2.53,387,89.9
HSS18X6X3/8,58.10,16.0,18.0,17.0,6.00,4.95,0.375,0.349,14.2,48.6,602,86.4,66.9,6.15,106,39.5,35.5,2.58,302,69.5
HSS18X6X5/16,48.86,13.4,18.0,17.1,6.00,5.13,0.3125,0.291,17.6,58.9,513,73.1,57.0,6.18,91.3,33.5,30.4,2.61,257,58.7
HSS18X6X1/4,39.43,10.8,18.0,17.3,6.00,5.30,0.250,0.233,22.8,74.3,419,59.4,46.5,6.22,75.1,27.3,25.0,2.63,210,47.7
HSS16X16X7/8,173.43,47.7,16.0,13.6,16.0,13.6,0.875,0.814,16.7,16.7,1800,268,225,6.14,1800,268,225,6.14,2920,373
HSS16X16X3/4,150.75,41.5,16.0,13.9,16.0,13.9,0.750,0.698,19.9,19.9,1590,235,199,6.19,1590,235,199,6.19,2560,326
HSS16X16X5/8,127.37,35.0,16.0,14.3,16.0,14.3,0.625,0.581,24.5,24.5,1370,200,171,6.25,1370,200,171,6.25,2170,276
HSS16X16X1/2,103.30,28.3,16.0,14.6,16.0,14.6,0.500,0.465,31.4,31.4,1130,164,141,6.31,1130,164,141,6.31,1770,224
HSS16X16X3/8,78.52,21.5,16.0,15.0,16.0,15.0,0.375,0.349,42.8,42.8,873,126,109,6.37,873,126,109,6.37,1350,171
HSS16X16X5/16,65.87,18.1,16.0,15.1,16.0,15.1,0.3125,0.291,52.0,52.0,739,106,92.3,6.39,739,106,92.3,6.39,1140,144
HSS16X12X3/4,130.33,35.9,16.0,13.9,12.0,9.91,0.750,0.698,14.2,19.9,1270,193,159,5.95,810,158,135.0,4.75,1610,240
HSS16X12X5/8,110.36,30.3,16.0,14.3,12.0,10.3,0.625,0.581,17.7,24.5,1090,165,136,6.00,700,135,117,4.80,1370,204
HSS16X12X1/2,89.68,24.6,16.0,14.6,12.0,10.6,0.500,0.465,22.8,31.4,904,135,113,6.06,581,111,96.8,4.86,1120,166
HSS16X12X3/8,68.31,18.7,16.0,15.0,12.0,11.0,0.375,0.349,31.4,42.8,702,104,87.7,6.12,452,85.5,75.3,4.91,862,127
HSS16X12X5/16,57.36,15.7,16.0,15.1,12.0,11.1,0.3125,0.291,38.2,52.0,595,87.7,74.4,6.15,384,72.2,64.0,4.94,727,107
HSS16X8X5/8,93.34,25.7,16.0,14.3,8.00,6.26,0.625,0.581,10.8,24.5,815,129,102,5.64,274,79.2,68.6,3.27,681,132
HSS16X8X1/2,76.07,20.9,16.0,14.6,8.00,6.60,0.500,0.465,14.2,31.4,679,106,84.9,5.70,230,65.5,57.6,3.32,563,108
HSS16X8X3/8,58.10,16.0,16.0,15.0,8.00,6.95,0.375,0.349,19.9,42.8,531,82.1,66.3,5.77,181,50.8,45.3,3.37,436,83.4
HSS16X8X5/16,48.86,13.4,16.0,15.1,8.00,7.13,0.3125,0.291,24.5,52.0,451,69.4,56.4,5.80,155,43.0,38.7,3.40,369,70.4
HSS16X8X1/4,39.43,10.8,16.0,15.3,8.00,7.30,0.250,0.233,31.3,65.7,368,56.4,46.1,5.83,127,35.0,31.7,3.42,300,57.0
HSS16X4X5/8,76.33,21.0,16.0,14.3,4.00,2.26,0.625,0.581,3.88,24.5,539,92.9,67.3,5.06,54.1,32.5,27.0,1.60,174,60.5
HSS16X4X1/2,62.46,17.2,16.0,14.6,4.00,2.60,0.500,0.465,5.60,31.4,455,77.3,56.9,5.15,47.0,27.4,23.5,1.65,150,50.7
HSS16X4X3/8,47.90,13.2,16.0,15.0,4.00,2.95,0.375,0.349,8.46,42.8,360,60.2,45.0,5.23,38.3,21.7,19.1,1.71,120,39.7
HSS16X4X5/16,40.35,11.1,16.0,15.1,4.00,3.13,0.3125,0.291,10.7,52.0,308,51.1,38.5,5.27,33.2,18.5,16.6,1.73,103,33.8
