Name,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS9X7X3/16,19.63,5.37,9.00,8.48,7.00,6.48,0.1875,0.174,37.2,48.7,64.7,16.9,14.4,3.47,44.1,14.3,12.6,2.87,81.7,20.9
HSS9X5X5/8,50.81,14.0,9.00,7.26,5.00,3.26,0.625,0.581,5.61,12.5,133,38.5,29.6,3.08,52.0,25.3,20.8,1.92,128,42.5
HSS9X5X1/2,42.05,11.6,9.00,7.60,5.00,3.60,0.500,0.465,7.75,16.4,115,32.5,25.5,3.14,45.2,21.5,18.1,1.97,109,35.6
HSS9X5X3/8,32.58,8.97,9.00,7.95,5.00,3.95,0.375,0.349,11.3,22.8,92.5,25.7,20.5,3.21,36.8,17.1,14.7,2.03,86.9,27.9
HSS9X5X5/16,27.59,7.59,9.00,8.13,5.00,4.13,0.3125,0.291,14.2,27.9,79.8,22.0,17.7,3.24,32.0,14.6,12.8,2.05,74.4,23.8
HSS9X5X1/4,22.42,6.17,9.00,8.30,5.00,4.30,0.250,0.233,18.5,35.6,66.1,18.1,14.7,3.27,26.6,12.0,10.6,2.08,61.2,19.4
HSS9X5X3/16,17.08,4.67,9.00,8.48,5.00,4.48,0.1875,0.174,25.7,48.7,51.1,13.8,11.4,3.31,20.7,9.25,8.28,2.10,46.9,14.8
HSS9X3X1/2,35.24,9.74,9.00,7.60,3.00,1.60,0.500,0.465,3.45,16.4,80.8,24.6,18.0,2.88,13.2,10.8,8.81,1.17,40.0,19.7
HSS9X3X3/8,27.48,7.58,9.00,7.95,3.00,1.95,0.375,0.349,5.60,22.8,66.3,19.7,14.7,2.96,11.2,8.80,7.45,1.21,33.1,15.8
HSS9X3X5/16,23.34,6.43,9.00,8.13,3.00,2.13,0.3125,0.291,7.31,27.9,57.7,16.9,12.8,3.00,9.88,7.63,6.59,1.24,28.9,13.6
HSS9X3X1/4,19.02,5.24,9.00,8.30,3.00,2.30,0.250,0.233,9.88,35.6,48.2,14.0,10.7,3.04,8.38,6.35,5.59,1.27,24.2,11.3
HSS9X3X3/16,14.53,3.98,9.00,8.48,3.00,2.48,0.1875,0.174,14.2,48.7,37.6,10.8,8.35,3.07,6.64,4.92,4.42,1.29,18.9,8.66
HSS8X8X5/8,59.32,16.4,8.00,6.26,8.00,6.26,0.625,0.581,10.8,10.8,146,44.7,36.5,2.99,146,44.7,36.5,2.99,244,63.2
HSS8X8X1/2,48.85,13.5,8.00,6.60,8.00,6.60,0.500,0.465,14.2,14.2,125,37.5,31.2,3.04,125,37.5,31.2,3.04,204,52.4
HSS8X8X3/8,37.69,10.4,8.00,6.95,8.00,6.95,0.375,0.349,19.9,19.9,100,29.4,24.9,3.10,100,29.4,24.9,3.10,160,40.7
HSS8X8X5/16,31.84,8.76,8.00,7.13,8.00,7.13,0.3125,0.291,24.5,24.5,85.6,25.1,21.4,3.13,85.6,25.1,21.4,3.13,136,34.5
HSS8X8X1/4,25.82,7.10,8.00,7.30,8.00,7.30,0.250,0.233,31.3,31.3,70.7,20.5,17.7,3.15,70.7,20.5,17.7,3.15,111,28.1
HSS8X8X3/16,19.63,5.37,8.00,7.48,8.00,7.48,0.1875,0.174,43.0,43.0,54.4,15.7,13.6,3.18,54.4,15.7,13.6,3.18,84.5,21.3
HSS8X8X1/8,13.26,3.62,8.00,7.65,8.00,7.65,0.125,0.116,66.0,66.0,37.4,10.7,9.34,3.21,37.4,10.7,9.34,3.21,57.3,14.4
HSS8X6X5/8,50.81,14.0,8.00,6.26,6.00,4.26,0.625,0.581,7.33,10.8,114,36.1,28.5,2.85,72.3,29.5,24.1,2.27,150,46.0
HSS8X6X1/2,42.05,11.6,8.00,6.60,6.00,4.61,0.500,0.465,9.90,14.2,98.2,30.5,24.6,2.91,62.5,24.9,20.8,2.32,127,38.4
HSS8X6X3/8,32.58,8.97,8.00,6.95,6.00,4.95,0.375,0.349,14.2,19.9,79.1,24.1,19.8,2.97,50.6,19.8,16.9,2.38,100,30.0
HSS8X6X5/16,27.59,7.59,8.00,7.13,6.00,5.13,0.3125,0.291,17.6,24.5,68.3,20.6,17.1,3.00,43.8,16.9,14.6,2.40,85.8,25.5
HSS8X6X1/4,22.42,6.17,8.00,7.30,6.00,5.30,0.250,0.233,22.8,31.3,56.6,16.9,14.2,3.03,36.4,13.9,12.1,2.43,70.3,20.8
HSS8X6X3/16,17.08,4.67,8.00,7.48,6.00,5.48,0.1875,0.174,31.5,43.0,43.7,13.0,10.9,3.06,28.2,10.7,9.39,2.46,53.7,15.8
HSS8X4X5/8,42.30,11.7,8.00,6.26,4.00,2.26,0.625,0.581,3.88,10.8,82.0,27.4,20.5,2.64,26.6,16.6,13.3,1.51,70.3,28.7
HSS8X4X1/2,35.24,9.74,8.00,6.60,4.00,2.60,0.500,0.465,5.60,14.2,71.8,23.5,17.9,2.71,23.6,14.3,11.8,1.56,61.1,24.4
HSS8X4X3/8,27.48,7.58,8.00,6.95,4.00,2.95,0.375,0.349,8.46,19.9,58.7,18.8,14.7,2.78,19.6,11.5,9.80,1.61,49.3,19.3
HSS8X4X5/16,23.34,6.43,8.00,7.13,4.00,3.13,0.3125,0.291,10.7,24.5,51.0,16.1,12.8,2.82,17.2,9.91,8.58,1.63,42.6,16.5
HSS8X4X1/4,19.02,5.24,8.00,7.30,4.00,3.30,0.250,0.233,14.2,31.3,42.5,13.3,10.6,2.85,14.4,8.20,7.21,1.66,35.3,13.6
HSS8X4X3/16,14.53,3.98,8.00,7.48,4.00,3.48,0.1875,0.174,20.0,43.0,33.1,10.2,8.27,2.88,11.3,6.33,5.65,1.69,27.2,10.4
HSS8X4X1/8,9.86,2.70,8.00,7.65,4.00,3.65,0.125,0.116,31.5,66.0,22.9,7.02,5.73,2.92,7.90,4.36,3.95,1.71,18.7,7.10
HSS8X3X1/2,31.84,8.81,8.00,6.60,3.00,1.60,0.500,0.465,3.45,14.2,58.6,20.0,14.6,2.58,11.7,9.64,7.81,1.15,34.3,17.4
HSS8X3X3/8,24.93,6.88,8.00,6.95,3.00,1.95,0.375,0.349,5.60,19.9,48.5,16.1,12.1,2.65,10.0,7.88,6.63,1.20,28.5,14.0
HSS8X3X5/16,21.21,5.85,8.00,7.13,3.00,2.13,0.3125,0.291,7.31,24.5,42.4,13.9,10.6,2.69,8.81,6.84,5.87,1.23,24.9,12.1
HSS8X3X1/4,17.32,4.77,8.00,7.30,3.00,2.30,0.250,0.233,9.88,31.3,35.5,11.5,8.88,2.73,7.49,5.70,4.99,1.25,20.8,10.0
HSS8X3X3/16,13.25,3.63,8.00,7.48,3.00,2.48,0.1875,0.174,14.2,43.0,27.8,8.87,6.94,2.77,5.94,4.43,3.96,1.28,16.2,7.68
HSS8X3X1/8,9.01,2.46,8.00,7.65,3.00,2.65,0.125,0.116,22.9,66.0,19.3,6.11,4.83,2.80,4.20,3.07,2.80,1.31,11.3,5.27
HSS8X2X3/8,22.37,6.18,8.00,6.95,2.00,0.953,0.375,0.349,2.73,19.9,38.2,13.4,9.56,2.49,3.73,4.61,3.73,0.777,12.1,8.65
HSS8X2X5/16,19.08,5.26,8.00,7.13,2.00,1.13,0.3125,0.291,3.87,24.5,33.7,11.6,8.43,2.53,3.38,4.06,3.38,0.802,10.9,7.57
HSS8X2X1/4,15.62,4.30,8.00,7.30,2.00,1.30,0.250,0.233,5.58,31.3,28.5,9.68,7.12,2.57,2.94,3.43,2.94,0.827,9.36,6.35
HSS8X2X3/16,11.97,3.28,8.00,7.48,2.00,1.48,0.1875,0.174,8.49,43.0,22.4,7.51,5.61,2.61,2.39,2.70,2.39,0.853,7.48,4.95
HSS8X2X1/8,8.16,2.23,8.00,7.65,2.00,1.65,0.125,0.116,14.2,66.0,15.7,5.19,3.93,2.65,1.72,1.90,1.72,0.879,5.30,3.44
HSS7X7X5/8,50.81,14.0,7.00,5.26,7.00,5.26,0.625,0.581,9.05,9.05,93.4,33.1,26.7,2.58,93.4,33.1,26.7,2.58,158,47.1
HSS7X7X1/2,42.05,11.6,7.00,5.60,7.00,5.60,0.500,0.465,12.1,12.1,80.5,27.9,23.0,2.63,80.5,27.9,23.0,2.63,133,39.3
HSS7X7X3/8,32.58,8.97,7.00,5.95,7.00,5.95,0.375,0.349,17.1,17.1,65.0,22.1,18.6,2.69,65.0,22.1,18.6,2.69,105,30.7
HSS7X7X5/16,27.59,7.59,7.00,6.13,7.00,6.13,0.3125,0.291,21.1,21.1,56.1,18.9,16.0,2.72,56.1,18.9,16.0,2.72,89.7,26.1
HSS7X7X1/4,22.42,6.17,7.00,6.30,7.00,6.30,0.250,0.233,27.0,27.0,46.5,15.5,13.3,2.75,46.5,15.5,13.3,2.75,73.5,21.3
HSS7X7X3/16,17.08,4.67,7.00,6.48,7.00,6.48,0.1875,0.174,37.2,37.2,36.0,11.9,10.3,2.77,36.0,11.9,10.3,2.77,56.1,16.2
HSS7X7X1/8,11.56,3.16,7.00,6.65,7.00,6.65,0.125,0.116,57.3,57.3,24.8,8.13,7.09,2.80,24.8,8.13,7.09,2.80,38.2,11.0
HSS7X5X1/2,35.24,9.74,7.00,5.60,5.00,3.60,0.500,0.465,7.75,12.1,60.6,21.9,17.3,2.50,35.6,17.3,14.2,1.91,75.8,27.2
HSS7X5X3/8,27.48,7.58,7.00,5.95,5.00,3.95,0.375,0.349,11.3,17.1,49.5,17.5,14.1,2.56,29.3,13.8,11.7,1.97,60.6,21.4
HSS7X5X5/16,23.34,6.43,7.00,6.13,5.00,4.13,0.3125,0.291,14.2,21.1,43.0,15.0,12.3,2.59,25.5,11.9,10.2,1.99,52.1,18.3
HSS7X5X1/4,19.02,5.24,7.00,6.30,5.00,4.30,0.250,0.233,18.5,27.0,35.9,12.4,10.2,2.62,21.3,9.83,8.53,2.02,42.9,15.0
HSS7X5X3/16,14.53,3.98,7.00,6.48,5.00,4.48,0.1875,0.174,25.7,37.2,27.9,9.52,7.96,2.65,16.6,7.57,6.65,2.05,32.9,11.4
HSS7X5X1/8,9.86,2.70,7.00,6.65,5.00,4.65,0.125,0.116,40.1,57.3,19.3,6.53,5.52,2.68,11.6,5.20,4.63,2.07,22.5,7.79
HSS7X4X1/2,31.84,8.81,7.00,5.60,4.00,2.60,0.500,0.465,5.60,12.1,50.7,18.8,14.5,2.40,20.7,12.6,10.4,1.53,50.5,21.1
HSS7X4X3/8,24.93,6.88,7.00,5.95,4.00,2.95,0.375,0.349,8.46,17.1,41.8,15.1,11.9,2.46,17.3,10.2,8.63,1.58,41.0,16.8
HSS7X4X5/16,21.21,5.85,7.00,6.13,4.00,3.13,0.3125,0.291,10.7,21.1,36.5,13.1,10.4,2.50,15.2,8.83,7.58,1.61,35.4,14.4
HSS7X4X1/4,17.32,4.77,7.00,6.30,4.00,3.30,0.250,0.233,14.2,27.0,30.5,10.8,8.72,2.53,12.8,7.33,6.38,1.64,29.3,11.8
HSS7X4X3/16,13.25,3.63,7.00,6.48,4.00,3.48,0.1875,0.174,20.0,37.2,23.8,8.33,6.81,2.56,10.0,5.67,5.02,1.66,22.7,9.07
HSS7X4X1/8,9.01,2.46,7.00,6.65,4.00,3.65,0.125,0.116,31.5,57.3,16.6,5.73,4.73,2.59,7.03,3.91,3.51,1.69,15.6,6.20
HSS7X3X1/2,28.43,7.88,7.00,5.60,3.00,1.60,0.500,0.465,3.45,12.1,40.7,15.8,11.6,2.27,10.2,8.46,6.80,1.14,28.6,15.0
HSS7X3X3/8,22.37,6.18,7.00,5.95,3.00,1.95,0.375,0.349,5.60,17.1,34.1,12.8,9.73,2.35,8.71,6.95,5.81,1.19,23.9,12.1
HSS7X3X5/16,19.08,5.26,7.00,6.13,3.00,2.13,0.3125,0.291,7.31,21.1,29.9,11.1,8.54,2.38,7.74,6.05,5.16,1.21,20.9,10.5
HSS7X3X1/4,15.62,4.30,7.00,6.30,3.00,2.30,0.250,0.233,9.88,27.0,25.2,9.22,7.19,2.42,6.60,5.06,4.40,1.24,17.5,8.68
HSS7X3X3/16,11.97,3.28,7.00,6.48,3.00,2.48,0.1875,0.174,14.2,37.2,19.8,7.14,5.65,2.45,5.24,3.94,3.50,1.26,13.7,6.69
HSS7X3X1/8,8.16,2.23,7.00,6.65,3.00,2.65,0.125,0.116,22.9,57.3,13.8,4.93,3.95,2.49,3.71,2.73,2.48,1.29,9.48,4.60
HSS7X2X1/4,13.91,3.84,7.00,6.30,2.00,1.30,0.250,0.233,5.58,27.0,19.8,7.64,5.67,2.27,2.58,3.02,2.58,0.819,7.95,5.52
HSS7X2X3/16,10.70,2.93,7.00,6.48,2.00,1.48,0.1875,0.174,8.49,37.2,15.7,5.95,4.49,2.31,2.10,2.39,2.10,0.845,6.35,4.32
