Name,W,A,d,b,t,kdes,kdet,x,y,xp,yp,b/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan(_),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L6X3-1/2X1/2,15.3,4.50,3.50,6.00,0.500,1.00,1      ,0.829,2.07,0.375,1.50,12.0,16.6,7.49,4.23,1.92,4.24,2.88,1.59,0.968,2.59,0.756,1.34,0.386,0.779,2.88,Ð,0.343,18.3,2.59,1.69,3.90,1.94,1.46,0.729,7.07,10.8,4.69,1.34,1.77,3.55,15.5,13.0,19.0
L6X3-1/2X3/8,11.7,3.44,3.50,6.00,0.375,0.875,  7/8 ,0.781,2.02,0.287,1.41,16.0,12.9,5.74,3.23,1.93,3.33,2.18,1.22,0.984,2.01,0.763,1.02,0.168,0.341,2.90,Ð,0.349,14.2,2.62,1.65,3.95,1.97,1.40,0.748,5.42,8.61,3.59,1.02,1.44,2.69,15.5,13.0,19.0
L6X3-1/2X5/16,9.80,2.89,3.50,6.00,0.313,0.813, 13/16,0.756,2.00,0.241,1.38,19.2,10.9,4.84,2.72,1.94,2.84,1.82,1.03,0.991,1.70,0.767,0.859,0.0990,0.201,2.92,Ð,0.352,12.0,2.65,1.64,3.97,1.98,1.38,0.764,4.53,7.32,3.02,0.859,1.23,2.23,15.5,13.0,19.0
L5X5X7/8,27.2,8.00,5.00,5.00,0.875,1.38,1  3/8 ,1.56,1.56,0.800,0.800,5.71,17.8,9.31,5.16,1.49,17.8,9.31,5.16,1.49,7.60,0.971,3.44,2.07,3.53,2.64,0.640,1.00,28.0,3.23,0,3.23,1.64,2.21,1.64,8.67,Ð,8.67,4.63,3.44,4.63,15.0,15.0,20.0
L5X5X3/4,23.6,6.98,5.00,5.00,0.750,1.25,1  1/4 ,1.52,1.52,0.698,0.698,6.67,15.7,8.14,4.52,1.50,15.7,8.14,4.52,1.50,6.55,0.972,3.05,1.33,2.32,2.67,0.630,1.00,24.8,3.27,0,3.27,1.65,2.15,1.65,7.58,Ð,7.58,3.97,3.05,3.97,15.0,15.0,20.0
L5X5X5/8,20.0,5.90,5.00,5.00,0.625,1.13,1  1/8 ,1.47,1.47,0.590,0.590,8.00,13.6,6.93,3.85,1.52,13.6,6.93,3.85,1.52,5.62,0.975,2.70,0.792,1.40,2.70,0.630,1.00,21.6,3.31,0,3.31,1.68,2.08,1.68,6.53,Ð,6.53,3.35,2.70,3.35,15.0,15.0,20.0
L5X5X1/2,16.2,4.79,5.00,5.00,0.500,1.00,1      ,1.42,1.42,0.479,0.479,10.0,11.3,5.66,3.15,1.53,11.3,5.66,3.15,1.53,4.64,0.980,2.31,0.417,0.744,2.73,0.630,1.00,18.0,3.36,0,3.36,1.70,2.01,1.70,5.36,Ð,5.36,2.73,2.31,2.73,15.0,15.0,20.0
L5X5X7/16,14.3,4.22,5.00,5.00,0.438,0.938, 15/16,1.40,1.40,0.422,0.422,11.4,10.0,5.00,2.78,1.54,10.0,5.00,2.78,1.54,4.04,0.983,2.04,0.284,0.508,2.74,0.630,1.00,15.9,3.38,0,3.38,1.71,1.98,1.71,4.70,Ð,4.70,2.36,2.04,2.36,15.0,15.0,20.0
L5X5X3/8,12.3,3.65,5.00,5.00,0.375,0.875,  7/8 ,1.37,1.37,0.365,0.365,13.3,8.76,4.33,2.41,1.55,8.76,4.33,2.41,1.55,3.55,0.986,1.83,0.183,0.327,2.76,0.630,1.00,14.0,3.40,0,3.40,1.73,1.94,1.73,4.12,Ð,4.12,2.05,1.83,2.05,15.0,15.0,20.0
L5X5X5/16,10.3,3.07,5.00,5.00,0.313,0.813, 13/16,1.35,1.35,0.307,0.307,16.0,7.44,3.65,2.04,1.56,7.44,3.65,2.04,1.56,3.00,0.990,1.57,0.108,0.193,2.77,0.630,1.00,11.9,3.42,0,3.42,1.74,1.91,1.74,3.48,Ð,3.48,1.72,1.57,1.72,15.0,15.0,20.0
L5X3-1/2X3/4,19.8,5.85,3.50,5.00,0.750,1.19,1  3/16,0.993,1.74,0.585,1.10,6.67,13.9,7.60,4.26,1.55,5.52,4.07,2.20,0.974,3.23,0.744,1.90,1.09,1.52,2.36,Ð,0.464,16.2,2.29,1.16,3.22,1.70,1.63,0.810,7.07,14.0,5.03,1.90,1.98,3.99,13.5,12.0,17.0
L5X3-1/2X5/8,16.8,4.93,3.50,5.00,0.625,1.06,1  1/16,0.947,1.69,0.493,1.06,8.00,12.0,6.50,3.63,1.56,4.80,3.43,1.88,0.987,2.74,0.746,1.59,0.651,0.918,2.39,Ð,0.472,14.1,2.33,1.12,3.26,1.72,1.58,0.838,6.05,12.6,4.33,1.59,1.73,3.27,13.5,12.0,17.0
L5X3-1/2X1/2,13.6,4.00,3.50,5.00,0.500,0.938, 15/16,0.901,1.65,0.400,1.00,10.0,10.0,5.33,2.97,1.58,4.02,2.79,1.55,1.00,2.26,0.750,1.30,0.343,0.491,2.42,Ð,0.479,11.8,2.38,1.10,3.30,1.74,1.52,0.854,4.96,10.7,3.58,1.30,1.49,2.65,13.5,12.0,17.0
L5X3-1/2X3/8,10.4,3.05,3.50,5.00,0.375,0.813, 13/16,0.854,1.60,0.305,0.933,13.3,7.75,4.09,2.28,1.59,3.15,2.12,1.19,1.02,1.73,0.755,0.983,0.150,0.217,2.45,Ð,0.485,9.16,2.43,1.07,3.35,1.76,1.47,0.884,3.77,8.56,2.73,0.983,1.18,1.96,13.5,12.0,17.0
L5X3-1/2X5/16,8.70,2.56,3.50,5.00,0.313,0.750,  3/4 ,0.829,1.57,0.256,0.904,16.0,6.58,3.45,1.92,1.60,2.69,1.77,1.01,1.02,1.47,0.758,0.826,0.0883,0.128,2.47,Ð,0.489,7.80,2.44,1.05,3.38,1.78,1.43,0.902,3.20,7.43,2.31,0.826,1.03,1.63,13.5,12.0,17.0
L5X3-1/2X1/4,7.00,2.07,3.50,5.00,0.250,0.688, 11/16,0.804,1.55,0.207,0.860,20.0,5.36,2.78,1.55,1.61,2.20,1.42,0.816,1.03,1.19,0.761,0.665,0.0464,0.0670,2.48,Ð,0.491,6.37,2.47,1.04,3.40,1.79,1.41,0.912,2.58,6.13,1.87,0.665,0.844,1.30,13.5,12.0,17.0
L5X3X1/2,12.8,3.75,3.00,5.00,0.500,0.938, 15/16,0.746,1.74,0.375,1.25,10.0,9.43,5.12,2.89,1.58,2.55,2.08,1.13,0.824,1.55,0.642,0.957,0.322,0.444,2.38,Ð,0.357,10.4,2.16,1.39,3.24,1.62,1.29,0.628,4.81,7.48,3.21,0.957,1.20,2.47,13.0,11.0,16.0
L5X3X7/16,11.3,3.31,3.00,5.00,0.438,0.875,  7/8 ,0.722,1.72,0.331,1.22,11.4,8.41,4.53,2.56,1.59,2.29,1.82,1.00,0.831,1.37,0.644,0.840,0.220,0.304,2.39,Ð,0.361,9.33,2.19,1.37,3.26,1.63,1.26,0.640,4.26,6.81,2.86,0.840,1.09,2.14,13.0,11.0,16.0
L5X3X3/8,9.80,2.86,3.00,5.00,0.375,0.813, 13/16,0.698,1.69,0.286,1.19,13.3,7.35,3.93,2.22,1.60,2.01,1.57,0.874,0.838,1.20,0.646,0.727,0.141,0.196,2.41,Ð,0.364,8.16,2.20,1.35,3.29,1.65,1.23,0.652,3.71,6.04,2.48,0.727,0.976,1.84,13.0,11.0,16.0
